position,test_season,metric,model,decile,n,mean_prediction,mean_actual,bias
QB,2022,PPG,V972,1,6,3.977927819506847,7.129313186813188,-3.151385367306341
QB,2022,PPG,V972,2,5,6.459413779168725,4.385238095238095,2.07417568393063
QB,2022,PPG,V972,3,5,8.415463443119773,8.718270588235294,-0.302807145115521
QB,2022,PPG,V972,4,6,10.719864809864141,12.684859525006582,-1.9649947151424403
QB,2022,PPG,V972,5,5,12.602097137728766,9.291599999999999,3.310497137728767
QB,2022,PPG,V972,6,5,14.355056742415522,12.79979393939394,1.5552628030215825
QB,2022,PPG,V972,7,6,15.787327008205631,14.71101851851852,1.0763084896871113
QB,2022,PPG,V972,8,5,17.099923215681976,15.945879365079367,1.1540438506026085
QB,2022,PPG,V972,9,5,18.329508369383444,18.533945098039215,-0.20443672865577156
QB,2022,PPG,V972,10,6,20.790871669211175,21.604115790255495,-0.8132441210443204
QB,2022,PPG,M9,1,6,3.740271895434553,7.375979853479854,-3.635707958045301
QB,2022,PPG,M9,2,5,5.918922134469251,2.166666666666667,3.752255467802584
QB,2022,PPG,M9,3,5,8.480579081921002,7.813285714285715,0.6672933676352875
QB,2022,PPG,M9,4,6,11.36921582406318,12.93655882352941,-1.567342999466229
QB,2022,PPG,M9,5,5,12.7583816770055,13.998358169934638,-1.239976492929138
QB,2022,PPG,M9,6,5,13.5929762808156,11.587882783882785,2.0050934969328154
QB,2022,PPG,M9,7,6,14.154759354088315,14.077791245791245,0.0769681082970699
QB,2022,PPG,M9,8,5,15.974632976611408,14.932375163398694,1.0422578132127143
QB,2022,PPG,M9,9,5,17.834202893101352,20.311742156862746,-2.4775392637613933
QB,2022,PPG,M9,10,6,20.8525870445464,20.792657456922164,0.059929587624235836
QB,2022,SEASON,V972,1,6,23.343096877720466,54.59,-31.246903122279537
QB,2022,SEASON,V972,2,5,35.457892792158326,30.856,4.601892792158324
QB,2022,SEASON,V972,3,5,49.896654502743246,75.59199999999998,-25.69534549725674
QB,2022,SEASON,V972,4,6,76.44932472801328,71.76666666666667,4.682658061346615
QB,2022,SEASON,V972,5,5,123.80659795624047,145.88000000000002,-22.073402043759558
QB,2022,SEASON,V972,6,5,161.7201574790696,171.504,-9.783842520930392
QB,2022,SEASON,V972,7,6,207.01191083996062,177.11,29.901910839960607
QB,2022,SEASON,V972,8,5,241.69575992818628,193.108,48.58775992818627
QB,2022,SEASON,V972,9,5,252.22455899855595,276.36800000000005,-24.143441001444103
QB,2022,SEASON,V972,10,6,285.18853506673753,330.7733333333333,-45.58479826659578
QB,2022,SEASON,M9,1,6,21.730618570146316,20.836666666666666,0.8939519034796497
QB,2022,SEASON,M9,2,5,34.35051732393211,61.672000000000004,-27.321482676067895
QB,2022,SEASON,M9,3,5,50.78124314623004,24.996,25.78524314623004
QB,2022,SEASON,M9,4,6,78.73141853627156,122.00333333333333,-43.27191479706177
QB,2022,SEASON,M9,5,5,138.52026041662833,136.356,2.1642604166283377
QB,2022,SEASON,M9,6,5,156.4489244155377,206.07200000000003,-49.62307558446233
QB,2022,SEASON,M9,7,6,179.26542934984482,178.7966666666667,0.4687626831781131
QB,2022,SEASON,M9,8,5,210.50106495259547,201.96400000000003,8.537064952595443
QB,2022,SEASON,M9,9,5,240.40266718256166,264.36800000000005,-23.965332817438394
QB,2022,SEASON,M9,10,6,282.99230340394183,310.83666666666664,-27.844363262724812
QB,2023,PPG,V972,1,6,4.146455906943803,8.979993464052287,-4.8335375571084835
QB,2023,PPG,V972,2,5,7.327501578903048,6.011,1.3165015789030479
QB,2023,PPG,V972,3,5,8.963105298232207,13.638633333333335,-4.675528035101127
QB,2023,PPG,V972,4,5,10.544246488590824,7.184,3.360246488590824
QB,2023,PPG,V972,5,6,12.313199236193055,10.551055555555555,1.7621436806375002
QB,2023,PPG,V972,6,5,13.351299843409592,13.501476003734828,-0.15017616032523584
QB,2023,PPG,V972,7,5,15.069690080986135,14.24696256684492,0.8227275141412154
QB,2023,PPG,V972,8,5,16.471484723230596,12.878678733031673,3.592805990198922
QB,2023,PPG,V972,9,5,18.114712284451816,17.070269607843137,1.0444426766086785
QB,2023,PPG,V972,10,6,21.160293957587047,19.074392282554047,2.085901675033
QB,2023,PPG,M9,1,6,4.958683548639928,9.234993464052287,-4.27630991541236
QB,2023,PPG,M9,2,5,7.815331142474969,6.044733333333333,1.770597809141636
QB,2023,PPG,M9,3,5,10.319940046647531,12.0329,-1.7129599533524686
QB,2023,PPG,M9,4,5,11.864503177721703,12.37801568627451,-0.5135125085528074
QB,2023,PPG,M9,5,6,12.903990076687913,10.884772727272727,2.019217349415186
QB,2023,PPG,M9,6,5,13.624272007403226,10.575394957983193,3.0488770494200335
